iter	Passed	Remaining
187	40700	175791
188	40920	175588
189	41108	175250
190	41301	174938
191	41516	174716
192	41698	174354
193	41864	173933
194	42050	173591
195	42230	173229
196	42393	172802
197	42568	172425
198	42751	172079
199	42932	171730
200	43132	171456
201	43325	171155
202	43511	170829
203	43688	170472
204	43874	170145
205	44061	169829
206	44234	169460
207	44402	169070
208	44568	168677
209	44731	168274
210	44898	167890
211	45074	167542
212	45236	167139
213	45406	166773
214	45578	166415
215	45805	166257
216	45971	165879
217	46139	165509
218	46304	165131
219	46475	164775
220	46640	164403
221	46802	164021
222	46975	163676
223	47142	163315
224	47306	162945
225	47476	162596
226	47647	162251
227	47811	161889
228	47981	161545
229	48170	161265
230	48370	161026
231	48610	160917
232	48819	160706
233	49020	160469
234	49237	160283
235	49470	160148
236	49665	159894
237	49880	159700
238	50071	159432
239	50230	159063
240	50399	158726
241	50565	158381
242	50725	158022
243	50900	157709
244	51099	157470
245	51315	157283
246	51478	156936
247	51647	156609
248	51860	156415
249	52030	156092
250	52200	155770
251	52388	155502
252	52545	155144
253	52725	154855
254	52909	154577
255	53124	154391
256	53328	154175
257	53507	153886
258	53720	153693
259	53941	153527
260	54224	153530
261	54573	153722
262	54827	153642
263	55049	153470
264	55487	153900
265	55712	153734
266	55932	153552
267	56227	153575
268	56510	153566
269	56720	153355
270	56934	153156
271	57151	152964
272	57354	152734
273	57566	152530
274	57785	152342
275	57992	152126
276	58164	151816
277	58386	151635
278	58572	151364
279	58797	151193
280	58989	150937
281	59196	150719
282	59383	150452
283	59558	150155
284	59778	149971
285	59948	149661
286	60135	149396
287	60325	149138
288	60495	148832
289	60677	148555
290	60867	148298
291	61113	148178
292	61367	148077
293	61551	147807
294	61756	147586
295	61969	147387
296	62155	147123
297	62330	146833
298	62523	146585
299	62730	146371
300	62919	146114
301	63117	145881
302	63288	145583
303	63459	145287
304	63615	144960
305	63785	144664
306	63944	144343
307	64115	144051
308	64298	143787
309	64466	143490
310	64649	143227
311	64842	142987
312	65035	142745
313	65216	142479
314	65411	142243
315	65601	141998
316	65779	141725
317	65962	141465
318	66140	141197
319	66347	140989
320	66541	140752
321	66737	140522
322	66925	140273
323	67081	139960
324	67248	139669
325	67416	139381
326	67577	139081
327	67739	138783
328	67900	138483
329	68062	138187
330	68247	137937
331	68443	137711
332	68646	137498
333	68834	137256
334	69049	137068
335	69248	136849
336	69472	136676
337	69658	136431
338	69853	136204
339	70049	135978
340	70237	135738
341	70432	135509
342	70604	135238
343	70789	134993
344	70942	134688
345	71105	134402
346	71273	134125
347	71438	133845
348	71623	133601
349	71816	133373
350	71995	133120
351	72186	132889
352	72376	132656
353	72565	132421
354	72743	132168
355	72929	131928
356	73089	131643
357	73250	131359
358	73412	131078
359	73568	130787
360	73733	130514
361	73894	130233
362	74049	129943
363	74217	129676
364	74384	129409
365	74544	129129
366	74710	128860
367	74866	128575
368	75032	128307
369	75219	128076
370	75404	127841
371	75613	127648
372	75829	127466
373	76016	127236
374	76192	126987
375	76354	126715
376	76519	126449
377	76675	126169
378	76838	125902
379	76998	125629
380	77157	125354
381	77323	125094
382	77488	124830
383	77643	124552
384	77809	124293
385	77968	124022
386	78130	123757
387	78301	123505
388	78459	123236
389	78622	122974
390	78782	122707
391	78942	122442
392	79104	122179
393	79261	121910
394	79424	121649
395	79597	121405
396	79764	121152
397	79982	120977
398	80198	120800
399	80385	120578
400	80549	120322
401	80716	120071
402	80881	119816
403	81043	119558
404	81226	119332
405	81393	119082
406	81579	118861
407	81748	118615
408	81930	118388
409	82131	118188
410	82324	117977
411	82513	117761
412	82706	117551
413	82914	117361
414	83102	117145
415	83297	116936
416	83594	116871
417	83790	116664
418	83982	116452
419	84150	116207
420	84344	115998
421	84521	115767
422	84709	115550
423	84899	115334
424	85124	115168
425	85338	114986
426	85517	114757
427	85716	114555
428	85899	114332
429	86144	114192
430	86345	113992
431	86562	113813
432	86765	113617
433	86957	113405
434	87146	113189
435	87332	112971
436	87513	112746
437	87689	112515
438	87861	112279
439	88029	112036
440	88220	111825
441	88401	111601
442	88584	111380
443	88757	111146
444	88952	110940
445	89146	110733
446	89325	110508
447	89489	110263
448	89686	110060
449	89881	109854
450	90086	109661
451	90278	109452
452	90449	109218
453	90626	108991
454	90810	108772
455	90983	108541
456	91172	108329
457	91385	108146
458	91592	107955
459	91788	107751
460	91997	107562
461	92199	107365
462	92408	107178
463	92602	106971
464	92778	106744
465	92957	106522
466	93135	106298
467	93331	106094
468	93512	105874
469	93702	105664
470	93887	105449
471	94059	105218
472	94277	105040
473	94495	104861
474	94676	104642
475	94859	104425
476	95074	104242
477	95319	104093
478	95546	103924
479	95785	103767
480	95976	103559
481	96151	103332
482	96341	103123
483	96527	102909
484	96695	102676
485	96871	102452
486	97086	102270
487	97312	102098
488	97541	101929
489	97758	101748
490	97948	101539
491	98121	101312
492	98323	101115
493	98542	100936
494	98781	100777
495	98991	100587
496	99160	100357
497	99392	100190
498	99590	99989
499	99807	99807
500	100011	99612
501	100247	99448
502	100469	99271
503	100658	99060
504	100843	98846
505	101070	98673
506	101297	98499
507	101529	98331
508	101763	98164
509	101967	97969
510	102150	97752
511	102362	97564
512	102588	97389
513	102800	97200
514	103038	97035
515	103277	96872
516	103489	96683
517	103677	96472
518	103882	96276
519	104059	96054
520	104238	95835
521	104420	95618
522	104605	95404
523	104784	95185
524	104998	94998
525	105227	94824
526	105438	94634
527	105658	94452
528	105841	94236
529	106037	94033
530	106240	93835
531	106419	93617
532	106676	93466
533	107001	93375
534	107265	93230
535	107509	93068
536	107757	92908
537	108002	92745
538	108252	92587
539	108480	92408
540	108716	92237
541	108964	92077
542	109201	91906
543	109447	91743
544	109682	91570
545	109924	91402
546	110175	91242
547	110433	91087
548	110621	90875
549	110802	90656
550	110982	90437
551	111161	90217
552	111337	89996
553	111515	89775
554	111697	89558
555	111874	89338
556	112047	89114
557	112226	88896
558	112398	88671
559	112583	88458
560	112756	88235
561	112937	88018
562	113119	87803
563	113309	87594
564	113483	87372
565	113661	87153
566	113835	86932
567	114012	86713
568	114189	86495
569	114368	86277
570	114541	86056
571	114711	85833
572	114894	85619
573	115065	85396
574	115245	85181
575	115425	84966
576	115598	84745
577	115770	84524
578	115945	84305
579	116126	84091
580	116304	83875
581	116479	83656
582	116659	83442
583	116841	83229
584	117022	83015
585	117194	82796
586	117366	82576
587	117539	82357
588	117707	82135
589	117881	81917
590	118058	81701
591	118235	81486
592	118414	81272
593	118664	81107
594	118839	80890
595	119009	80670
596	119180	80451
597	119358	80237
598	119540	80026
599	119724	79816
600	119906	79605
601	120088	79393
602	120261	79177
603	120440	78964
604	120612	78746
605	120788	78532
606	120960	78315
607	121136	78101
608	121317	77890
609	121492	77675
610	121665	77459
611	121836	77242
612	122010	77028
613	122185	76813
614	122361	76600
615	122540	76389
616	122719	76177
617	122891	75962
618	123078	75755
619	123251	75541
620	123423	75326
621	123599	75113
622	123775	74901
623	123950	74687
624	124123	74473
625	124299	74261
626	124473	74048
627	124648	73836
628	124823	73623
629	124996	73410
630	125172	73198
631	125348	72987
632	125521	72774
633	125698	72563
634	125869	72349
635	126042	72137
636	126219	71927
637	126395	71716
638	126575	71508
639	126747	71295
640	126921	71084
641	127097	70873
642	127269	70661
643	127440	70448
644	127630	70246
645	127801	70033
646	128003	69838
647	128179	69628
648	128357	69419
649	128531	69209
650	128703	68997
651	128893	68795
652	129071	68587
653	129255	68383
654	129436	68176
655	129608	67965
656	129783	67756
657	129962	67548
658	130137	67339
659	130315	67132
660	130486	66921
661	130667	66715
662	130843	66507
663	131013	66295
664	131194	66090
665	131369	65881
666	131540	65671
667	131717	65464
668	131890	65255
669	132067	65048
670	132248	64843
671	132427	64637
672	132597	64427
673	132767	64216
674	132943	64009
675	133116	63801
676	133298	63597
677	133477	63391
678	133652	63184
679	133833	62980
680	134005	62772
681	134180	62564
682	134357	62359
683	134530	62151
684	134700	61942
685	134880	61738
686	135057	61532
687	135231	61325
688	135400	61116
689	135572	60909
690	135743	60701
691	135984	60524
692	136197	60335
693	136403	60143
694	136582	59939
695	136770	59738
696	136958	59538
697	137144	59337
698	137335	59138
699	137530	58941
700	137716	58740
701	137905	58540
702	138084	58337
703	138329	58161
704	138522	57963
705	138693	57756
706	138922	57573
707	139151	57390
708	139320	57182
709	139491	56975
710	139696	56782
711	139880	56581
712	140055	56375
713	140231	56171
714	140408	55967
715	140586	55763
716	140758	55557
717	140931	55351
718	141110	55148
719	141290	54946
720	141466	54742
721	141639	54537
722	141815	54333
723	141987	54128
724	142165	53924
725	142362	53729
726	142593	53545
727	142765	53341
728	142936	53135
729	143109	52930
730	143283	52726
731	143461	52524
732	143648	52325
733	143835	52125
734	144015	51923
735	144188	51719
736	144363	51516
737	144531	51310
738	144708	51108
739	144888	50906
740	145064	50703
741	145237	50500
742	145414	50298
743	145587	50094
744	145763	49892
745	145934	49688
746	146106	49484
747	146277	49280
748	146452	49078
749	146625	48875
750	146797	48672
751	146964	48467
752	147128	48261
753	147300	48058
754	147481	47858
755	147649	47653
756	147824	47452
757	147991	47248
758	148162	47044
759	148330	46841
760	148497	46637
761	148666	46433
762	148832	46229
763	148998	46025
764	149166	45822
765	149333	45619
766	149498	45414
767	149663	45210
768	149828	45007
769	149995	44803
770	150166	44601
771	150328	44397
772	150495	44194
773	150671	43994
774	150848	43794
775	151027	43595
776	151205	43396
777	151385	43197
778	151555	42995
779	151721	42793
780	151888	42591
781	152054	42388
782	152228	42188
783	152394	41986
784	152560	41784
785	152727	41582
786	152897	41381
787	153064	41179
788	153237	40979
789	153403	40778
790	153570	40576
791	153739	40376
792	153908	40175
793	154076	39974
794	154245	39774
795	154417	39574
796	154586	39373
797	154752	39173
798	154919	38972
799	155088	38772
800	155258	38572
801	155425	38371
802	155595	38172
803	155758	37970
804	155925	37770
805	156114	37575
806	156288	37377
807	156462	37179
808	156633	36980
809	156804	36781
810	156973	36582
811	157149	36384
812	157315	36184
813	157482	35984
814	157650	35785
815	157821	35587
816	158003	35391
817	158182	35194
818	158361	34998
819	158533	34800
820	158706	34602
821	158870	34402
822	159035	34203
823	159205	34005
824	159369	33805
825	159538	33607
826	159705	33408
827	159869	33209
828	160043	33012
829	160215	32815
830	160385	32617
831	160553	32419
832	160722	32221
833	160888	32023
834	161053	31825
835	161228	31628
836	161395	31430
837	161561	31232
838	161726	31034
839	161890	30836
840	162052	30637
841	162226	30441
842	162388	30243
843	162559	30046
844	162720	29848
845	162884	29650
846	163052	29453
847	163227	29257
848	163398	29061
849	163565	28864
850	163731	28667
851	163895	28470
852	164060	28273
853	164230	28076
854	164394	27879
855	164565	27683
856	164735	27487
857	164914	27293
858	165081	27097
859	165250	26901
860	165413	26704
861	165579	26508
862	165751	26312
863	165927	26118
864	166104	25923
865	166275	25728
866	166442	25532
867	166616	25338
868	166782	25142
869	166947	24946
870	167120	24751
871	167288	24556
872	167455	24360
873	167619	24164
874	167786	23969
875	167951	23774
876	168114	23578
877	168289	23384
878	168467	23190
879	168633	22995
880	168797	22800
881	168962	22604
882	169130	22410
883	169299	22215
884	169462	22020
885	169624	21825
886	169791	21630
887	169956	21436
888	170125	21241
889	170292	21047
890	170458	20852
891	170624	20658
892	170784	20463
893	170951	20269
894	171118	20075
895	171289	19881
896	171459	19688
897	171625	19494
898	171789	19300
899	171958	19106
900	172128	18913
901	172299	18719
902	172464	18526
903	172627	18332
904	172793	18138
905	172956	17944
906	173122	17751
907	173288	17557
908	173465	17365
909	173637	17172
910	173802	16979
911	173967	16786
912	174139	16593
913	174304	16400
914	174468	16207
915	174635	16014
916	174802	15821
917	174964	15628
918	175131	15435
919	175296	15243
920	175471	15051
921	175637	14858
922	175808	14666
923	175973	14474
924	176148	14282
925	176317	14090
926	176485	13897
927	176650	13705
928	176815	13513
929	176981	13321
930	177148	13129
931	177314	12937
932	177481	12745
933	177652	12553
934	177818	12361
935	177983	12169
936	178153	11978
937	178321	11786
938	178491	11595
939	178660	11403
940	178829	11212
941	178998	11021
942	179166	10829
943	179332	10638
944	179500	10447
945	179665	10255
946	179833	10064
947	180003	9873
948	180176	9682
949	180338	9491
950	180501	9300
951	180666	9109
952	180832	8918
953	180999	8727
954	181168	8536
955	181335	8345
956	181500	8155
957	181666	7964
958	181832	7773
959	181999	7583
960	182170	7392
961	182335	7202
962	182502	7012
963	182667	6821
964	182834	6631
965	183000	6440
966	183168	6250
967	183334	6060
968	183499	5870
969	183666	5680
970	183831	5490
971	183993	5300
972	184160	5110
973	184327	4920
974	184493	4730
975	184659	4540
976	184824	4351
977	184986	4161
978	185156	3971
979	185321	3782
980	185485	3592
981	185650	3402
982	185813	3213
983	185983	3024
984	186157	2834
985	186335	2645
986	186499	2456
987	186665	2267
988	186833	2078
989	186999	1888
990	187170	1699
991	187334	1510
992	187499	1321
993	187664	1132
994	187831	943
995	187997	755
996	188168	566
997	188334	377
998	188505	188
999	188671	0
