iter	Accuracy	MultiClass
241	0.9392249392	0.3595184309
242	0.9395109395	0.3580240797
243	0.9397969398	0.3570289001
244	0.9402259402	0.35579657
245	0.9405119405	0.3550908611
246	0.9413699414	0.3540475453
247	0.9415129415	0.3532509451
248	0.9416559417	0.3523107383
249	0.9423709424	0.3514898965
250	0.9425139425	0.3499924777
251	0.9433719434	0.3472212794
252	0.9432289432	0.3464970288
253	0.9436579437	0.3451862142
254	0.9436579437	0.3443351635
255	0.9442299442	0.3433038781
256	0.9446589447	0.3424016466
257	0.9443729444	0.3414506019
258	0.9445159445	0.34070283
259	0.9449449449	0.3398261134
260	0.9458029458	0.3384065822
261	0.9459459459	0.3377778161
262	0.9462319462	0.3371584561
263	0.9470899471	0.3364156468
264	0.9469469469	0.3355107619
265	0.9470899471	0.3347184743
266	0.9469469469	0.3336184475
267	0.9475189475	0.3328632407
268	0.9479479479	0.3322257135
269	0.9475189475	0.3312310298
270	0.9482339482	0.3302801228
271	0.9486629487	0.3291190871
272	0.9482339482	0.3282374288
273	0.9488059488	0.3276166126
274	0.9490919491	0.3264590146
275	0.9496639497	0.3258346832
276	0.9499499499	0.3247542975
277	0.9502359502	0.3234745579
278	0.9502359502	0.3215900537
279	0.9516659517	0.320485885
280	0.9516659517	0.3190796656
281	0.9520949521	0.3179744866
282	0.953953954	0.317030655
283	0.9536679537	0.316447355
284	0.9535249535	0.3152463362
285	0.953953954	0.3142868715
286	0.9543829544	0.3133892579
287	0.9546689547	0.312942146
288	0.9543829544	0.3116349285
289	0.9542399542	0.3108503844
290	0.9550979551	0.309897164
291	0.954954955	0.3093448018
292	0.9552409552	0.3081543123
293	0.9555269555	0.3073296211
294	0.9558129558	0.3052361812
295	0.9568139568	0.3038748921
296	0.9576719577	0.3019034244
297	0.9582439582	0.3009371045
298	0.9586729587	0.2998168332
299	0.9592449592	0.298479591
300	0.9586729587	0.2981456158
301	0.9593879594	0.2971143359
302	0.9598169598	0.2961139983
303	0.9598169598	0.2958409791
304	0.9602459602	0.2951406467
305	0.9606749607	0.2940927713
306	0.960960961	0.2932014311
307	0.9615329615	0.2924558144
308	0.9611039611	0.2921865446
309	0.9612469612	0.2912536107
310	0.9618189618	0.290381909
311	0.9622479622	0.2897679382
312	0.9625339625	0.2889747345
313	0.9623909624	0.2880952114
314	0.9622479622	0.2876567108
315	0.9631059631	0.2870202491
316	0.9626769627	0.2864550764
317	0.9625339625	0.2858805157
318	0.962962963	0.2854157959
319	0.962962963	0.2841871338
320	0.9631059631	0.2828533683
321	0.962962963	0.2817321252
322	0.9631059631	0.2806727451
323	0.9632489632	0.2800562668
324	0.9632489632	0.2796847006
325	0.9633919634	0.2787625034
326	0.9635349635	0.2770662599
327	0.9636779637	0.276431782
328	0.9641069641	0.2757153561
329	0.9641069641	0.2751915191
330	0.9643929644	0.274477586
331	0.9645359645	0.2740029606
332	0.9643929644	0.2732285541
333	0.9645359645	0.2725763587
334	0.9652509653	0.2713589519
335	0.9656799657	0.2702919169
336	0.9661089661	0.2697410555
337	0.9663949664	0.2694481961
338	0.9663949664	0.2685262077
339	0.9665379665	0.2678225572
340	0.9668239668	0.2674719927
341	0.966966967	0.2666610076
342	0.9673959674	0.2655269185
343	0.9672529673	0.2648095091
344	0.9671099671	0.2644028491
345	0.9675389675	0.2637214675
346	0.9682539683	0.2626033765
347	0.9683969684	0.2616344513
348	0.9688259688	0.2610078067
349	0.968968969	0.2600192081
350	0.9693979694	0.2592398291
351	0.9696839697	0.2583787899
352	0.9695409695	0.2578685316
353	0.9696839697	0.2575221479
354	0.9696839697	0.2569319508
355	0.9698269698	0.2561554385
356	0.9701129701	0.2555076673
357	0.96996997	0.2547439077
358	0.9703989704	0.2539416419
359	0.9708279708	0.2533679629
360	0.9705419705	0.2527976196
361	0.9705419705	0.2523493429
362	0.9705419705	0.2514978054
363	0.9711139711	0.2507966329
364	0.9712569713	0.2500459603
365	0.9715429715	0.249090193
366	0.9716859717	0.2483769721
367	0.971971972	0.2480958616
368	0.9721149721	0.2473595393
369	0.971971972	0.2467874259
370	0.9724009724	0.2463550193
371	0.9724009724	0.2460895423
372	0.9728299728	0.2456428997
373	0.972972973	0.2453033315
374	0.9734019734	0.2447921492
375	0.9734019734	0.2444978065
376	0.9732589733	0.2439352313
377	0.9734019734	0.2432038035
378	0.9735449735	0.2424953742
379	0.9735449735	0.2421478948
380	0.9735449735	0.2413645714
381	0.9735449735	0.240885818
382	0.973973974	0.2400134524
383	0.973973974	0.2396122604
384	0.9736879737	0.2390367142
385	0.9736879737	0.2383771404
386	0.973973974	0.2380272752
387	0.9744029744	0.2370762226
388	0.9748319748	0.2361666739
389	0.9754039754	0.2354292024
390	0.9754039754	0.2350037089
391	0.9754039754	0.2341162014
392	0.9755469755	0.2337117413
393	0.9758329758	0.2332356956
394	0.975975976	0.2327302065
395	0.975975976	0.2323277254
396	0.975975976	0.2312481524
397	0.9762619763	0.2306216096
398	0.9762619763	0.2304019395
399	0.9764049764	0.2300424225
400	0.9764049764	0.2294226953
401	0.9762619763	0.2290032973
402	0.9771199771	0.2284505878
403	0.9772629773	0.2278635685
404	0.9776919777	0.2274296008
405	0.9775489775	0.2270354603
406	0.9775489775	0.2261301808
407	0.9778349778	0.2257521154
408	0.9778349778	0.2254610519
409	0.9778349778	0.2250509043
410	0.977977978	0.224430627
411	0.9782639783	0.2241056984
412	0.9782639783	0.2238407035
413	0.977977978	0.2231798297
414	0.9784069784	0.2224042058
415	0.977977978	0.2220540173
416	0.9785499785	0.2217100879
417	0.9784069784	0.2213067814
418	0.978978979	0.2205627407
419	0.9791219791	0.2200322039
420	0.9788359788	0.2196280866
421	0.9796939797	0.2192055731
422	0.97997998	0.2186771385
423	0.9802659803	0.218377223
424	0.97997998	0.2178070925
425	0.9801229801	0.2171949048
426	0.9802659803	0.2165746018
427	0.9801229801	0.2156235518
428	0.9808379808	0.2151614389
429	0.980980981	0.2146719851
430	0.980980981	0.2139189639
431	0.9812669813	0.2134964809
432	0.9812669813	0.2131626607
433	0.9812669813	0.2127262865
434	0.9811239811	0.2121949653
435	0.9814099814	0.2117410335
436	0.9812669813	0.2113097033
437	0.9806949807	0.2109469419
438	0.9815529816	0.2104501686
439	0.9812669813	0.2099764913
440	0.9814099814	0.2095144016
441	0.9812669813	0.2091932321
442	0.9818389818	0.208694703
443	0.9821249821	0.2084136004
444	0.981981982	0.2077708056
445	0.981981982	0.2074846234
446	0.9821249821	0.2071214551
447	0.9818389818	0.2068892697
448	0.9818389818	0.2059982488
449	0.9825539826	0.2056554346
450	0.9826969827	0.2051871278
451	0.9832689833	0.2046187684
452	0.982982983	0.2043104066
453	0.9831259831	0.2040710369
454	0.9835549836	0.2033196958
455	0.9835549836	0.2029132027
456	0.9836979837	0.2024279283
457	0.983983984	0.2016470126
458	0.983983984	0.2014280741
459	0.9838409838	0.2008284426
460	0.983983984	0.200258401
461	0.9838409838	0.1998077949
462	0.9841269841	0.1991203473
463	0.9841269841	0.1987790053
464	0.9844129844	0.1983637103
465	0.9846989847	0.1980271305
466	0.9848419848	0.1973013887
467	0.9848419848	0.1968820876
468	0.9848419848	0.1963888631
469	0.9848419848	0.1961765512
470	0.9851279851	0.1955219783
471	0.9851279851	0.1952213741
472	0.9851279851	0.1947233242
473	0.984984985	0.193745656
474	0.984984985	0.193289916
475	0.9851279851	0.1929063041
476	0.9851279851	0.1925029167
477	0.984984985	0.1921808955
478	0.9851279851	0.1916516768
479	0.9854139854	0.191228343
480	0.9854139854	0.1908303846
481	0.9854139854	0.1906126044
482	0.9855569856	0.19006721
483	0.9856999857	0.1898222478
484	0.9858429858	0.1895445877
485	0.9862719863	0.1891107602
486	0.9864149864	0.1885816924
487	0.9864149864	0.1882714531
488	0.9867009867	0.1876372884
489	0.9867009867	0.1874775991
490	0.9868439868	0.1869117661
491	0.9868439868	0.1868089202
492	0.9868439868	0.1864944039
493	0.9872729873	0.1861280396
494	0.9871299871	0.1855053173
495	0.9875589876	0.1849728972
496	0.9874159874	0.1846344802
497	0.9872729873	0.1843326961
498	0.9872729873	0.1838402839
499	0.9874159874	0.1837006656
500	0.9872729873	0.1830169831
501	0.9877019877	0.182511178
502	0.9881309881	0.1820208542
503	0.987987988	0.1814296274
504	0.9881309881	0.1809828471
505	0.9881309881	0.1805390524
506	0.9884169884	0.1801402283
507	0.9888459888	0.1795449567
508	0.9891319891	0.1791769015
509	0.9887029887	0.1788338273
510	0.9892749893	0.1783257687
511	0.9894179894	0.1778917285
512	0.9894179894	0.1774790037
513	0.9895609896	0.1770953015
514	0.9897039897	0.1765879923
515	0.9897039897	0.1763532467
516	0.9897039897	0.176236527
517	0.9894179894	0.1756340141
518	0.9898469898	0.1748519925
519	0.98998999	0.174636755
520	0.9898469898	0.1743209311
521	0.9898469898	0.1739617011
